Syn_Fam,Acc_Fam,Clade
Celosiaceae,Amaranthaceae,Caryophyllales
Celtidaceae,Cannabaceae,Rosales
Centaureaceae,Asteraceae,Asterales
Centrolepidaceae,Restionaceae,Poales
Centroplacaceae,Centroplacaceae,Malpighiales
Cepaceae,Amaryllidaceae,Asparagales
Cephalanthaceae,Rubiaceae,Gentianales
Cephalotaceae,Cephalotaceae,Oxalidales
Cephalotaxaceae,Taxaceae,Cupressales
Cerastiaceae,Caryophyllaceae,Caryophyllales
Ceratoniaceae,Fabaceae,Fabales
Ceratophyllaceae,Ceratophyllaceae,Ceratophyllales
Ceratopteridaceae,Pteridaceae,Polypodiales
Cerberaceae,Apocynaceae,Gentianales
Cercidiphyllaceae,Cercidiphyllaceae,Saxifragales
Cercocarpaceae,Rosaceae,Rosales
Cercodiaceae,Haloragaceae,Saxifragales
Cereaceae,Cactaceae,Caryophyllales
Cerinthaceae,Boraginaceae,Boraginales
Ceroxylaceae,Arecaceae,Arecales
Cervantesiaceae,Santalaceae,Santalales
Cestraceae,Solanaceae,Solanales
Cevalliaceae,Loasaceae,Cornales
Chaeturaceae,Poaceae,Poales
Chailletiaceae,Dichapetalaceae,Malpighiales
Chamaedoraceae,Arecaceae,Arecales
Chamaemoraceae,Rosaceae,Rosales
Chamelauciaceae,Myrtaceae,Myrtales
Chaunochitonaceae,Aptandraceae,Santalales
Cheilanthaceae,Pteridaceae,Polypodiales
Cheilosaceae,Euphorbiaceae,Malpighiales
Cheiropleuriaceae,Dipteridaceae,Gleicheniales
Chelidoniaceae,Papaveraceae,Ranunculales
Chelonaceae,Plantaginaceae,Lamiales
Chenopodiaceae,Amaranthaceae,Caryophyllales
Chimonanthaceae,Calycanthaceae,Laurales
Chingithamnaceae,Celastraceae,Celastrales
Chionographidaceae,Melanthiaceae,Liliales
Chiranthodendraceae,Malvaceae,Malvales
Chironiaceae,Gentianaceae,Gentianales
Chlaenaceae,Sarcolaenaceae,Malvales
Chloanthaceae,Lamiaceae,Lamiales
Chloranthaceae,Chloranthaceae,Chloranthales
Chloridaceae,Poaceae,Poales
Chlorogalaceae,Asparagaceae,Asparagales
Christenseniaceae,Marattiaceae,Marattiales
Chrysobalanaceae,Chrysobalanaceae,Malpighiales
Chrysospleniaceae,Saxifragaceae,Saxifragales
Cibotiaceae,Cibotiaceae,Cyatheales
Ciceraceae,Fabaceae,Fabales
Cichoriaceae,Asteraceae,Asterales
Cimicifugaceae,Ranunculaceae,Ranunculales
Cinchoniaceae,Rubiaceae,Gentianales
Circaeaceae,Onagraceae,Myrtales
Circaeasteraceae,Circaeasteraceae,Ranunculales
Cissaceae,Vitaceae,Vitales
Cistaceae,Cistaceae,Malvales
Citraceae,Rutaceae,Sapindales
Clematidaceae,Ranunculaceae,Ranunculales
Cleomaceae,Cleomaceae,Brassicales
Clethraceae,Clethraceae,Ericales
Clusiaceae,Clusiaceae,Malpighiales
Cneoraceae,Rutaceae,Sapindales
Cnestidaceae,Connaraceae,Oxalidales
Cnicaceae,Asteraceae,Asterales
Cobaeaceae,Polemoniaceae,Ericales
Cochlospermaceae,Bixaceae,Malvales
Codonaceae,Codonaceae,Boraginales
Cocosaceae,Arecaceae,Arecales
Coeleanthaceae,Poaceae,Poales
Coffeaceae,Rubiaceae,Gentianales
Colchicaceae,Colchicaceae,Liliales
Coldeniaceae,Cordiaceae,Boraginales
Coleogynaceae,Rosaceae,Rosales
Colocasiaceae,Araceae,Alismatales
Columelliaceae,Columelliaceae,Bruniales
Comandraceae,Santalaceae,Santalales
Combretaceae,Combretaceae,Myrtales
Commelinaceae,Commelinaceae,Commelinales
Comocladiaceae,Anacardiaceae,Sapindales
Compositae,Compositae,Asterales
Compsoaceae,Calochortoideae,Liliales
Conantheraceae,Tecophilaeaceae,Asparagales
Connaraceae,Connaraceae,Oxalidales
Conostylidaceae,Haemodoraceae,Commelinales
Convallariaceae,Asparagaceae,Asparagales
Convolvulaceae,Convolvulaceae,Solanales
Corbichoniaceae,Lophiocarpaceae,Caryophyllales
Cordiaceae,Cordiaceae,Boraginales
Coreopsidaceae,Asteraceae,Asterales
