taxonID,scientificName,tip_label,family,genus,species,split_length,author.x,genus_hybrid,species_hybrid,taxon_rank,infra_name,comment,usable,id,family.apg,taxon_status,author.y,accepted_plant_name_id,match_type
330184,Solidago juncea,Solidago juncea,Asteraceae,Solidago,juncea,2,,,,species,,,,29590,Asteraceae,Accepted,Aiton,1101526-az,
330184,Solidago juncea,Solidago juncea,Asteraceae,Solidago,juncea,2,,,,species,,,,29590,Asteraceae,Invalid,DC,1267042-az,
344103,Neolitsea chui,Neolitsea chui,Lauraceae,Neolitsea,chui,2,Merr,,,species,,,,30507,Lauraceae,Accepted,Merr,383700-az,matching authors
344103,Neolitsea chui,Neolitsea chui,Lauraceae,Neolitsea,chui,2,Merr,,,species,,,,30507,Lauraceae,Illegitimate,Merr,1257761-az,matching authors
344772,Pilea alpestris,Pilea alpestris,Urticaceae,Pilea,alpestris,2,,,,species,,,,30594,Urticaceae,Illegitimate,Ridl,546512-az,
344772,Pilea alpestris,Pilea alpestris,Urticaceae,Pilea,alpestris,2,,,,species,,,,30594,Urticaceae,Accepted,(Urb)Fawc&Rendle,546151-az,
352201,Peperomia tristachya,Peperomia tristachya,Piperaceae,Peperomia,tristachya,2,,,,species,,,,31328,Piperaceae,Accepted,Kunth,558677-az,
352201,Peperomia tristachya,Peperomia tristachya,Piperaceae,Peperomia,tristachya,2,,,,species,,,,31328,Piperaceae,Illegitimate,Opiz,557196-az,
365151,Vicia humilis,Vicia humilis,Fabaceae,Vicia,humilis,2,,,,species,,,,32205,Fabaceae,Accepted,Kunth,452925-az,
365151,Vicia humilis,Vicia humilis,Fabaceae,Vicia,humilis,2,,,,species,,,,32205,Fabaceae,Illegitimate,RRHe,453095-az,
376207,Cuphea hyssopifolia,Cuphea hyssopifolia,Lythraceae,Cuphea,hyssopifolia,2,,,,species,,,,32969,Lythraceae,Illegitimate,Griseb,748292-az,
376207,Cuphea hyssopifolia,Cuphea hyssopifolia,Lythraceae,Cuphea,hyssopifolia,2,,,,species,,,,32969,Lythraceae,Accepted,Kunth,748114-az,
376248,Ranunculus ficariifolius,Ranunculus ficariifolius,Ranunculaceae,Ranunculus,ficariifolius,2,,,,species,,,,32976,Ranunculaceae,Illegitimate,HLév&Vaniot,526535-az,
376248,Ranunculus ficariifolius,Ranunculus ficariifolius,Ranunculaceae,Ranunculus,ficariifolius,2,,,,species,,,,32976,Ranunculaceae,Illegitimate,Beck,870953-az,
376254,Ranunculus ternatus,Ranunculus ternatus,Ranunculaceae,Ranunculus,ternatus,2,,,,species,,,,32980,Ranunculaceae,Accepted,Thunb,525194-az,
376254,Ranunculus ternatus,Ranunculus ternatus,Ranunculaceae,Ranunculus,ternatus,2,,,,species,,,,32980,Ranunculaceae,Illegitimate,DC,1259996-az,
376256,Ranunculus vaginatus,Ranunculus vaginatus,Ranunculaceae,Ranunculus,vaginatus,2,,,,species,,,,32982,Ranunculaceae,Illegitimate,Hand-Mazz,525359-az,
376256,Ranunculus vaginatus,Ranunculus vaginatus,Ranunculaceae,Ranunculus,vaginatus,2,,,,species,,,,32982,Ranunculaceae,Synonym,Sommerauer,522500-az,
392645,Salvia aegyptiaca,Salvia aegyptiaca,Lamiaceae,Salvia,aegyptiaca,2,L,,,species,,,,34215,Lamiaceae,Illegitimate,L,459927-wcs,matching authors
392645,Salvia aegyptiaca,Salvia aegyptiaca,Lamiaceae,Salvia,aegyptiaca,2,L,,,species,,,,34215,Lamiaceae,Accepted,L,181899-wcs,matching authors
392681,Salvia prunelloides,Salvia prunelloides,Lamiaceae,Salvia,prunelloides,2,,,,species,,,,34247,Lamiaceae,Misapplied,Benth,183267-wcs,
392681,Salvia prunelloides,Salvia prunelloides,Lamiaceae,Salvia,prunelloides,2,,,,species,,,,34247,Lamiaceae,Accepted,Kunth,183592-wcs,
412121,Vriesea gigantea,Vriesea gigantea,Bromeliaceae,Vriesea,gigantea,2,,,,species,,,,35213,Bromeliaceae,Accepted,Gaudich,271829-wcs,
412121,Vriesea gigantea,Vriesea gigantea,Bromeliaceae,Vriesea,gigantea,2,,,,species,,,,35213,Bromeliaceae,Misapplied,Lem,218485-wcs,
412121,Vriesea gigantea,Vriesea gigantea,Bromeliaceae,Vriesea,gigantea,2,,,,species,,,,35213,Bromeliaceae,Illegitimate,(MartexSchult&Schultf)Mez,272292-wcs,
435679,Scirpus atrocinctus,Scirpus atrocinctus,Cyperaceae,Scirpus,atrocinctus,2,Fernald,,,species,,,,36787,Cyperaceae,Accepted,Fernald,263755-wcs,matching authors
435679,Scirpus atrocinctus,Scirpus atrocinctus,Cyperaceae,Scirpus,atrocinctus,2,Fernald,,,species,,,,36787,Cyperaceae,Illegitimate,Fernald,264006-wcs,matching authors
441034,Ruellia tubiflora,Ruellia tubiflora,Acanthaceae,Ruellia,tubiflora,2,,,,species,,,,37055,Acanthaceae,Illegitimate,Leconte,420262-az,
441034,Ruellia tubiflora,Ruellia tubiflora,Acanthaceae,Ruellia,tubiflora,2,,,,species,,,,37055,Acanthaceae,Accepted,Kunth,420677-az,
443380,Verbena canescens,Verbena canescens,Verbenaceae,Verbena,canescens,2,,,,species,,,,37130,Verbenaceae,Illegitimate,Chapm,212129-wcs,
443380,Verbena canescens,Verbena canescens,Verbenaceae,Verbena,canescens,2,,,,species,,,,37130,Verbenaceae,Accepted,Kunth,212159-wcs,
473045,Hypericum kalmianum,Hypericum kalmianum,Hypericaceae,Hypericum,kalmianum,2,,,,species,,,,38770,Hypericaceae,Accepted,L,515769-wcs,
